is_canceled,deposit_type,lead_time,country
0,No Deposit,7,GBR
0,No Deposit,13,GBR
0,No Deposit,14,GBR
0,No Deposit,0,PRT
0,No Deposit,9,PRT
1,No Deposit,85,PRT
1,No Deposit,75,PRT
1,No Deposit,23,PRT
0,No Deposit,35,PRT
0,No Deposit,68,USA
0,No Deposit,18,ESP
0,No Deposit,37,PRT
0,No Deposit,68,IRL
0,No Deposit,37,PRT
0,No Deposit,12,IRL
0,No Deposit,0,FRA
0,No Deposit,7,GBR
0,No Deposit,37,GBR
0,No Deposit,72,PRT
0,No Deposit,72,PRT
0,No Deposit,127,GBR
0,No Deposit,78,PRT
0,No Deposit,48,IRL
1,No Deposit,60,PRT
0,No Deposit,77,PRT
0,No Deposit,99,PRT
0,No Deposit,118,rare
0,No Deposit,95,GBR
1,No Deposit,96,PRT
0,No Deposit,69,IRL
1,No Deposit,45,PRT
1,No Deposit,40,PRT
0,No Deposit,15,ESP
0,No Deposit,36,PRT
1,No Deposit,43,PRT
0,No Deposit,70,ROU
1,No Deposit,45,PRT
0,No Deposit,45,IRL
0,No Deposit,16,ESP
0,No Deposit,107,PRT
1,No Deposit,47,PRT
0,No Deposit,96,ESP
0,No Deposit,113,NOR
0,No Deposit,90,GBR
0,No Deposit,50,IRL
0,No Deposit,113,NOR
0,No Deposit,93,IRL
0,No Deposit,76,OMN
0,No Deposit,3,ESP
0,No Deposit,1,ARG
0,No Deposit,1,ESP
0,No Deposit,0,PRT
0,No Deposit,0,PRT
0,No Deposit,0,PRT
0,No Deposit,14,USA
0,No Deposit,10,PRT
0,No Deposit,5,IRL
0,No Deposit,17,ESP
0,No Deposit,93,IRL
1,No Deposit,3,PRT
0,No Deposit,10,USA
0,No Deposit,3,ESP
0,No Deposit,51,POL
1,No Deposit,71,PRT
1,No Deposit,63,PRT
1,No Deposit,62,PRT
1,No Deposit,101,PRT
0,No Deposit,2,PRT
0,No Deposit,15,ESP
1,No Deposit,51,PRT
0,No Deposit,3,ESP
1,No Deposit,48,PRT
0,No Deposit,2,PRT
0,No Deposit,72,DEU
0,No Deposit,81,PRT
0,No Deposit,99,FRA
1,No Deposit,368,PRT
0,No Deposit,364,GBR
1,No Deposit,81,PRT
0,No Deposit,99,GBR
0,No Deposit,324,GBR
0,No Deposit,69,GBR
1,No Deposit,79,PRT
0,No Deposit,12,GBR
0,No Deposit,9,PRT
0,No Deposit,1,ESP
0,No Deposit,21,PRT
0,No Deposit,9,USA
0,No Deposit,109,BEL
1,No Deposit,109,PRT
1,No Deposit,72,PRT
1,No Deposit,63,PRT
0,No Deposit,63,ESP
0,No Deposit,101,PRT
0,No Deposit,102,DEU
0,No Deposit,4,ESP
0,No Deposit,98,FRA
0,No Deposit,92,FRA
0,No Deposit,95,PRT
0,No Deposit,102,PRT
1,No Deposit,26,PRT
1,No Deposit,73,PRT
1,No Deposit,102,PRT
0,No Deposit,115,PRT
0,No Deposit,102,PRT
0,No Deposit,86,CHE
0,No Deposit,78,PRT
0,No Deposit,52,GBR
0,No Deposit,29,PRT
1,No Deposit,101,PRT
0,No Deposit,109,PRT
0,No Deposit,92,GBR
0,No Deposit,92,PRT
0,No Deposit,79,PRT
0,No Deposit,2,PRT
0,No Deposit,30,PRT
1,No Deposit,51,PRT
1,No Deposit,36,PRT
1,No Deposit,73,PRT
1,No Deposit,33,PRT
0,No Deposit,32,PRT
0,No Deposit,8,ESP
0,No Deposit,100,FRA
0,No Deposit,1,PRT
0,No Deposit,100,FRA
0,No Deposit,100,FRA
0,No Deposit,9,ESP
1,No Deposit,5,PRT
0,No Deposit,0,ESP
0,No Deposit,9,DEU
0,No Deposit,2,PRT
0,No Deposit,2,PRT
0,No Deposit,9,DEU
0,No Deposit,2,PRT
0,No Deposit,44,PRT
0,No Deposit,80,FRA
0,No Deposit,97,ESP
0,No Deposit,109,rare
0,No Deposit,30,ESP
0,No Deposit,64,PRT
0,No Deposit,39,ESP
0,No Deposit,90,PRT
1,No Deposit,34,PRT
1,No Deposit,93,PRT
0,No Deposit,97,PRT
